,name,genres,year,page_count,purchase_link,price,avg_rating,num_ratings,maturity_rating,language,description,image,authors,,,,,
359,And Condors Danced,{'Juvenile Fiction'},2014-03-25,212,https://play.google.com/store/books/details?id=WBj7AgAAQBAJ&rdid=book-WBj7AgAAQBAJ&rdot=1&source=gbs_api,6.99,,,NOT_MATURE,en,"A moving coming-of-age story from three-time Newbery Medal winner Zilpha Keatley Snyder The tenth day of June in the year of Our Lord, 1907. Mehitabel Carlton Hartwick becomes invisible . . . Eleven-year-old Carly Hartwick lives a life of adventure on her family’s ranch in Santa Luisa. No one has a clue about her secret life—not her strict father, her ailing, distracted mother, her older sister, or her older brother. Carly shares her adventures with her faithful dog, Tiger, and documents their exploits in her journal. She loves visiting her aunt Mehitabel and hearing the story of her Chinese servant’s danger-filled immigration to California during the gold rush. And soon she and Tiger have a real-life mystery to solve: Who bombed a float during the annual Fourth of July parade? This fateful summer and fall, two tragedies will test Carly’s courage and forever alter her views on life and death. Culled from Snyder’s mother’s memories of growing up in this slice of rural Southern California, And Condors Danced introduces a heroine with a big imagination and an even bigger heart. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=WBj7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
360,The Trespassers,{'Juvenile Fiction'},2012-12-04,200,https://play.google.com/store/books/details?id=eXRMD3ck1PAC&rdid=book-eXRMD3ck1PAC&rdot=1&source=gbs_api,6.99,3,2,NOT_MATURE,en,"Halcyon House has everything: a beautiful location, incredible amenities, and life-threatening danger In the beautiful Northern California coastal town of Monterey, Halcyon House is exactly the kind of place that any kid would want to explore. It’s huge, abandoned, and— rumor has it—haunted. Neely and her little brother, Grub, are determined to get inside. The two siblings climb through an open window and find an old nursery, filled with old toys and, possibly, a ghost. The siblings’ trespassing ends, however, when the mysterious Hutchinson family arrives and reclaims the house. Neely and Grub should be in trouble, but instead Curtis Hutchinson welcomes the siblings in with open arms. But as Neely spends more time at Halcyon House, she realizes that this mansion and its inhabitants are far more dangerous than she could have possibly imagined. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=eXRMD3ck1PAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
361,William's Midsummer Dreams,{'Juvenile Fiction'},2012-06-05,209,,,3,2,NOT_MATURE,en,"Now permanently settled with Aunt Fiona, who has adopted him and his siblings, thirteen-year-old William gets the chance to play Puck in a professional production of A Midsummer Night's Dream.",http://books.google.com/books/content?id=IpvrCqVTS2EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
362,The Treasures of Weatherby,{'Juvenile Fiction'},2013-06-18,240,https://play.google.com/store/books/details?id=3gSz5Dn5jy0C&rdid=book-3gSz5Dn5jy0C&rdot=1&source=gbs_api,8.99,3,3,NOT_MATURE,en,"Three-time Newbery Honor winner Zilpha Keatley Snyder combines a cast of quirky characters with an eerie old mansion to create a spellbinding tale of mystery and magic. Harleigh J. Weatherby IV feels misunderstood. At age twelve he is about as tall as a six-year-old, and no one lets him forget it. At school the bullies nicknamed him “Hardly.” Now he is homeschooled at the Weatherby mansion, where strict Aunt Adelaide is always on his case about something. Then Harleigh meets Allegra. When she literally flies over the walls of Weatherby and into Harleigh’s life, the two form an unlikely friendship. Allegra is fascinated by the enormous Weatherby mansion, and against Harleigh’s orders, sneaks inside. Together they discover that someone is trying to find—and steal—the long-lost Weatherby treasure. Will Harleigh and Allegra be able to foil the villain and save Weatherby House?",http://books.google.com/books/content?id=3gSz5Dn5jy0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
363,A Fabulous Creature,{'Young Adult Fiction'},2014-03-25,240,https://play.google.com/store/books/details?id=FBr7AgAAQBAJ&rdid=book-FBr7AgAAQBAJ&rdot=1&source=gbs_api,9.99,,,NOT_MATURE,en,"Fifteen-year-old James has just discovered the magnificence of nature—but can he protect it from the phoniness of the material world? When his academic-minded parents decide to forsake civilization for a wilderness summer in the Sierra Nevada mountains, James Fielding figures he’ll be counting the minutes until it’s over. But in the woods one day, he comes upon a magnificent deer and becomes fascinated by its majesty and beauty. Then he meets two very different girls. Thirteen-year-old Griffin Donahue is “pure and free and beautiful.” Diane Jarrett is a tanned, “hot-pink-bikinied” goddess. Griffin is at one with nature. Diane is slumming at the nearby exclusive camp, with its decadent luxury and A-list guests. When these two worlds collide, threatening the existence of the stag, James embarks on a quest to find a friend who’s gone missing—and to save a life. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=FBr7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
364,The Runaways,{'Juvenile Fiction'},2014-03-25,245,https://play.google.com/store/books/details?id=7xn7AgAAQBAJ&rdid=book-7xn7AgAAQBAJ&rdot=1&source=gbs_api,6.99,,,NOT_MATURE,en,"From three-time Newbery Medal winner Zilpha Keatley Snyder comes the story of three desperate kids who just want to run away Dani O’Donnell hates the dusty desert town of Rattler Springs and the ramshackle cabin where she lives with her widowed mother. On the eve of her thirteenth birthday, Dani hatches a plan to run away and return home to Sea Grove, California, with its palm trees and ocean breezes. But her scheme gets complicated when Stormy Arigotti, a dyslexic nine-year-old, decides he wants in. As if that weren’t enough, a big-city family just set up shop on the rundown ranch Dani’s mother inherited from her husband—and the daughter, Pixie Smithson, wants to join the runaway group. Pixie’s the strangest girl Dani has ever met, but now they have to think about practical things, like raising money for three bus tickets. For Dani, Stormy, and Pixie, running away might not turn out to be the great adventure they envisioned. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=7xn7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
365,William S. and the Great Escape,{'Juvenile Fiction'},2009-09-15,224,https://play.google.com/store/books/details?id=qKSLzd3jiGkC&rdid=book-qKSLzd3jiGkC&rdot=1&source=gbs_api,8.99,3.5,4,NOT_MATURE,en,"Twelve-year-old William S. Baggett is one of eight Baggett children, and he is ready to escape his negligent family. Since his very first day of school in 1931, he has been saving up money to run away. That’s exactly what he does—along with three of his younger siblings—after his older brothers flush a pet guinea pig down the toilet. The four children are headed to their aunt Fiona’s house, but the trip doesn’t go exactly as planned—especially when a lonely rich girl decides to “help” them. Will they ever make it to Aunt Fiona’s? And if they do, will she let them stay?",http://books.google.com/books/content?id=qKSLzd3jiGkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
366,The Magic Nation Thing,{'Juvenile Fiction'},2014-03-25,164,https://play.google.com/store/books/details?id=zRr7AgAAQBAJ&rdid=book-zRr7AgAAQBAJ&rdot=1&source=gbs_api,6.99,,,NOT_MATURE,en,"Abby doesn’t want to be different, but she doesn’t have a choice—she has magic, and it’s not in her imagination Abigail O’Malley resents having the psychic powers that set her apart from other kids. Even though her kindergarten teacher assured her that her visions were just her imagination (which Abby heard as “magic nation”), Abby knows they’re very real. She just wants to be normal, like her best friend, Paige Borden, and grow up to be a lawyer or maybe an Olympic gold-medalist skier. If her powers are so special, why can’t she find a way to bring her parents back together? But Abby’s ability to read minds and find missing objects comes in handy when she helps solve cases at her mom’s private detective agency. The trouble starts when Abby accidentally reveals her special gift to Paige. Now that Paige knows her secret, she keeps trying to get Abby to use her magic to figure out everyday mysteries. But whenPaige’s little brother Sky goes missing, Abby has to put her powers to the ultimate test. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=zRr7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
367,Song of the Gargoyle,{'Juvenile Fiction'},2012-12-04,232,https://play.google.com/store/books/details?id=psJNPBddMGAC&rdid=book-psJNPBddMGAC&rdot=1&source=gbs_api,9.99,3,2,NOT_MATURE,en,"Tymmon was thrown out of his kingdom, and has to make his way in the world, but unexpected help from a singing gargoyle will certainly make that easier In one night, Tymmon’s life is turned upside down. His father, the beloved court jester of Austernerve, is kidnapped in a night raid. Tymmon escapes his father’s fate but must find shelter in the dark, deep, and dangerous Sombrous Forest. There, he meets another kind of outcast: Troff, a fearsome-looking dog-like gargoyle with an unexpectedly gorgeous singing voice. Together, the two form a great duo: Tymmon plays the flute while Troff sings. They take their act around the kingdom, until a chance encounter with a mysterious old man gives the two an opportunity to save Tymmon’s father, and change Tymmon’s life forever. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=psJNPBddMGAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
368,Below the Root,{'Juvenile Fiction'},2012-12-04,229,https://play.google.com/store/books/details?id=JStPypqB-VQC&rdid=book-JStPypqB-VQC&rdot=1&source=gbs_api,9.99,3.5,7,NOT_MATURE,en,"Raamo has been chosen to rule Green-sky, but to uncover the secrets of his people, he’ll have to dig deep—very deepGreen-sky is an ideal place. Violence doesn’t exist. Its citizens, the Kindar, glide from tree to tree and exchange happy thoughts. This is all thanks to their rulers, the Ol-zhaan. And on his thirteenth birthday, Raamo D’ok is chosen to become one of the Ol-zhaan. Raamo is surprised to be named a Chosen. He isn’t a very good student—but the Ol-zhaan believe he has strong Spirit-force. But during his training, Raamo discovers that these good rulers aren’t as benevolent as they appear. They harbor secrets about his people, his family, and what lies below the forest floor. Now Raamo must decide: Should he keep the peace, or reveal the secrets that the Ol-zhaan have protected for so long? This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=JStPypqB-VQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
369,Eyes in the Fishbowl,{'Juvenile Fiction'},2014-04-15,162,https://play.google.com/store/books/details?id=yqofAwAAQBAJ&rdid=book-yqofAwAAQBAJ&rdot=1&source=gbs_api,6.99,2,1,NOT_MATURE,en,"Newbery Medal winner Zilpha Keatley Snyder delves into the paranormal in this story of a teenage boy who makes an extraordinary discovery The whole thing started six years ago when Dion James was around eight or nine. He got a shoe-shining gig on the corner of Palm and Eighth, outside the big glass-and-bronze doors of Alcott-Simpson’s department store. With his unruly hair and bad limp from polio, Dion looked like a refugee. Envisioning himself one day working at Alcott-Simpson’s, he cleans up his act and starts dressing better. Fourteen-year-old Dion still dreams of working at the luxury department store when he sees a girl with big black eyes and long black hair pursued by store detectives for stealing a sweater. A few days later, Dion is in the store when he hears a scream, and all hell breaks loose. Locked in after the store empties out, Dion sees a familiar figure: the sweater thief. Her name is Sara, and soon she and Dion are eyewitnesses to a bizarre series of events that have no rational explanation. Who is Sara? And why is there a pair of eyes in the mink-lined fishbowl? This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=yqofAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
370,The Changing Maze,"{""Children's stories, American""}",1985,32,,,,,NOT_MATURE,en,A shepherd boy braves the evil magic of a wizard's maze to save his pet lamb.,,"{'Zilpha Keatley Snyder', 'Charles Mikolaycak'}",,,,,
371,The Birds of Summer,{'Young Adult Fiction'},2014-03-25,195,https://play.google.com/store/books/details?id=yhn7AgAAQBAJ&rdid=book-yhn7AgAAQBAJ&rdot=1&source=gbs_api,9.99,4,1,NOT_MATURE,en,"Summer is just a teenager, but sometimes she feels like the parent Fifteen-year-old Summer McIntyre lives with her mother, Oriole, and seven-year-old sister, Sparrow, in a trailer in Alvarro Bay City, overlooking the Pacific. Oriole is a Northern California flower child who fantasizes about being at one with nature and forgets about needing money. Even though she’s only fifteen, Summer is good at being Mom. That is, until Oriole’s new boyfriend upsets the precarious balance in their lives. Suddenly Summer has to protect her family as she copes with the dangers of drug-smuggling, blackmailing, and even terrorism. Set during the 1980s, The Birds of Summer is the story of a teenager with the responsibilities of adulthood thrust upon her shoulders, who learns how to adapt . . . and how to survive. Winner of the PEN Literary Award and the Parents’ Choice Award. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=yhn7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
372,Fool's Gold,{'Juvenile Fiction'},2014-04-15,216,https://play.google.com/store/books/details?id=fakfAwAAQBAJ&rdid=book-fakfAwAAQBAJ&rdot=1&source=gbs_api,6.99,,,NOT_MATURE,en,"For as long as he can remember, people have warned Rudy not to play in the mines . . . Fourteen-year-old Rudy Drummond lives with his mother and half sisters, Margot and Moira—“the M and M’s”—in Pyramid Hill, California’s legendary gold rush town. But Rudy’s got a secret: He’s terrified of dark, closed-in places. So when his best friend, Barney, and Tyler, the new kid in town, decide to explore the abandoned Pritchard’s Hole mine, Rudy has to come up with an excuse for why he can’t go without arousing their suspicions. He tries everything, from babysitting Margot and Moira to giving a girl named Heather horseback riding lessons. But Rudy can’t stop the other boys from venturing into the forbidden mine shaft—an expedition that brings back memories of being buried alive. During this summer vacation, Rudy will struggle to overcome his fears, fall in love, and become a hero as he makes life-changing discoveries about himself, his family, and his friends. A Junior Library Guild selection. This ebook features an extended biography of Zilpha Keatley Snyder.",http://books.google.com/books/content?id=fakfAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
373,The Gypsy Game Teacher's Guide,,1998-09-01,,,,,,NOT_MATURE,en,,,{'Zilpha Keatley Snyder'},,,,,
374,Ghost Invasion,{'Ghost stories'},1995,100,,,,,NOT_MATURE,en,"As Halloween approaches, Kate and Aurora set out to raise some ghosts, but when Bucky and his friends attempt to frighten the girls, they get a scary surprise themselves.",http://books.google.com/books/content?id=k2mkvwMfhXsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
375,The Ghosts of Rathburn Park,{'Juvenile Fiction'},2002,182,,,4,1,NOT_MATURE,en,"Lost in the woods of Rathburn Park, eleven-year-old Matthew weighs the odds of dying from thirst, embarrassment, or at the hands of the forest's reputed ghostly inhabitants.",http://books.google.com/books/content?id=09Pfx_FItbcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'Zilpha Keatley Snyder'},,,,,
376,The Princess and the Giants,{'Fairy tales.'},1973-01-01,47,,,,,NOT_MATURE,en,"A farm girl's vivid imagination changes her world into a kingdom where her house is a castle, the adults are giants, and she is a princess.",,"{'Zilpha Keatley Snyder', 'Beatrice Darwin'}",,,,,
377,Before and Afterlives,{'Fiction'},2013,242,,,,,NOT_MATURE,en,Discover the haunting stories of Crawford Award-winning author Christopher Barzak in his new collection Before and Afterlives. These are tales of relationships with unearthly domesticity and eeriness: a woman falls in love with a haunted house, a beached mermaid is substituted for a lost missing daughter, the imaginary friend of a murdered young mother stalks the streets of her small town, a teenage boy is afflicted with a disease that causes him to vanish, a father exploits his daughter's talent for calling ghosts to her, and a wife leaves her husband and children to fulfill her obligations to a world from which she escaped.,http://books.google.com/books/content?id=Unqd4E93qt4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'}
378,One For Sorrow,{'Fiction'},2007-08-28,320,https://play.google.com/store/books/details?id=QReJfQ4lJ58C&rdid=book-QReJfQ4lJ58C&rdot=1&source=gbs_api,11.99,4.5,7,NOT_MATURE,en,"NOW THE MAJOR MOTION PICTURE JAMIE MARKS IS DEAD Part thriller, part ghost tale, part love story, One for Sorrow is a novel as timeless as The Catcher in the Rye and as hauntingly lyrical as The Lovely Bones. Christopher Barzak’s stunning debut tells of a teenage boy’s coming-of-age that begins with a shocking murder and ends with a reason to hope. Adam McCormick had just turned fifteen when the body was found in the woods. It is the beginning of an autumn that will change his life forever. Jamie Marks was a boy a lot like Adam, a boy no one paid much attention to—a boy almost no one would truly miss. And for the first time, Adam feels he has a purpose. Now, more than ever, Jamie needs a friend. But the longer Adam holds on to Jamie’s ghost, the longer he keeps his friend tethered to a world where he no longer belongs . . . and the weaker Adam’s own ties to the living become. Now, to find his way back, Adam must learn for himself what it truly means to be alive. Praise for One for Sorrow “Christopher Barzak’s sympathy and humor, his awareness, his easeful vernacular storytelling, are extraordinary, and his mournful, unforgettable teenagers drive us deep into the land of the dead practically before we've even fastened our seatbelts.”—Jonathan Lethem, author of Motherless Brooklyn “An amazing, original debut from an amazing, original writer. One for Sorrow may be the most haunting ghost story I’ve ever read.”—Karen Joy Fowler, author of The Jane Austen Book Club “An uncommonly good book with brains, heart, and bravery to spare. Readers who don’t find themselves in sympathy with Barzak’s characters were never adolescents themselves.”—Kelly Link, author of Magic for Beginners “An honest and uncanny ride through the shadows between grief and acceptance. This is how real magic works.”—Scott Westerfeld, author of Uglies and Extras",http://books.google.com/books/content?id=QReJfQ4lJ58C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'},,,,,
379,The Gone Away Place,{'Young Adult Fiction'},2018-05-15,304,https://play.google.com/store/books/details?id=FvY5DwAAQBAJ&rdid=book-FvY5DwAAQBAJ&rdot=1&source=gbs_api,10.99,,,NOT_MATURE,en,"From Stonewall Honor author Christopher Barzak comes a haunting novel of love and loss, in which a series of tornadoes rips through a small midwest town, forever altering the lives of those who live there. Ellie heads up her high school yearbook, and until the tornadoes come, her biggest worry is how to raise enough money to print them. But since the day when a rash of powerful tornadoes touched down in Newfoundland, Ohio--killing more than half of the students in her school, not to mention dozens more people throughout the town--she's been haunted: by the ghosts of her best friends, by the boy next door, even by her boyfriend. And the living are haunting her too, all those left behind in the storm's wake to cope with the ""gone away"" pieces in their lives. A chance encounter with one ghost leads Ellie to discover a way to free the spirits that have been lingering since the storm, and she learns that she's not the only one seeing the ghosts--it's a town-wide epidemic.",http://books.google.com/books/content?id=FvY5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'},,,,,
380,Wonders of the Invisible World,{'Young Adult Fiction'},2015,339,,,4,3,NOT_MATURE,en,"Seventeen-year-old Aiden's been living like a ghost since his mother tried to stop a family curse by causing him to forget his psychic experiences, but when Jarrod, a childhood friend, returns, so do the memories, and Aiden's compelled to seek the truth and release them all from the story that's trapped them.",http://books.google.com/books/content?id=86PoDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'},,,,,
381,The Love We Share Without Knowing,{'Fiction'},2008,288,,,3.5,3,NOT_MATURE,en,"The lives of a group of strangers--a Japanese suicide club survivor, an American teacher who lost her lover in 9/11, a man struck blind after witnessing a miracle on a train, and a girl who believes she is more than she seems--become intertwined by love, loss, and fate, in a novel set in modern Japan. By the author of One for Sorrow. Original. 40,000 first printing.",http://books.google.com/books/content?id=guiLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'},,,,,
382,Birds and Birthdays,{'Fantasy fiction'},2012-08-01,96,,,,,NOT_MATURE,en,"Remedios Varo, Leonora Carrington, Dorothea Tanning: three of the most interesting painters to flourish in male-dominated Surrealism. This is Christopher Barzak’s tribute to them, three stories and an essay that enter into a humane surrealism which turns away from the unconscious and toward magic. Sometimes the stories themselves seem to be paintings. Sometimes painter and writer may be characters, regarding each other through a painful otherness, talking in shared secrets. Barzak’s stories are huge with the spacious strangeness of worlds where there is always more room for a woman to escape her tormenters, or outgrow an older self. Here we find a bird-maker and a star-catcher whose shared history spills over into the birds and the stars themselves; a girl who outgrows her clothes, her house, and finally her town—and leaves to find her body a new home; a landlord, whose marriage, motherhood, separation, sexual exploration, and excursions into self-portraiture all take place within a single apartment building.",http://books.google.com/books/content?id=9S2-NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,{'Christopher Barzak'},,,,,
383,The Year's Top Ten Tales of Science Fiction 5,{'Fiction'},2013-07-09,,https://play.google.com/store/books/details?id=jtGhDwAAQBAJ&rdid=book-jtGhDwAAQBAJ&rdot=1&source=gbs_api,4.99,,,NOT_MATURE,en,"An unabridged collection of the “best of the best” science fiction stories published in 2012 by current and emerging masters of the genre, edited by Allan Kaster. In “Invisible Men,” by Christopher Barzak, a maid in an inn encounters the Invisible Man who makes her an offer to be more than she is in this quasi-retelling of H.G. Wells’ famous story. In this year’s Nebula Award winner for best novelette, “Close Encounters,” by Andy Duncan, an old man is hounded by reporters about the stories he used to tell of an alien who took him into space and the dog he brought back with him. “Bricks, Sticks, Straw,” by Gwyneth Jones, follows virtual scientists forced to survive within their remotes when a young science team on Earth loses remote contact with their telepresences on Jupiter’s moons. In “Arbeitskraft,” by Nick Mamatas, Friedrich Engels strives to spread class revolution as a labor organizer for factory cyborg matchstick girls. “The Man,” by Paul McAuley, is a Jackaroo tale about a solitary woman, living in a cabin on the planet Yanos, whose life is interrupted by the sudden appearance of a naked man at her door. In “Nahiku West,” by Linda Nagata, set in the author’s Nanotech Succession sequence, officer Zeke Choy investigates an accident involving an illegal enhancement which was used to save a life. “Tyche and the Ants,” by Hannu Rajaniemi, showcases the plight of a young girl hidden on the moon by her parents, along with grags and Brain, as robotic ants have come from the Great Wrong Place to take her away. In “Katabasis,” by Robert Reed, human adventurers on a journey in an inhospitable high-gravity region of the Great Ship must use porters, evolved for massive worlds, to aid them. “The Contrary Gardener,” by Christopher Rowe, tells of the tough decisions a talented gardener in a society which genetically grows some crops for ammunition must come to when she’s recruited for the war effort. Finally, in “Scout,” by Bud Sparhawk, a reconstructed marine is deployed to a planet occupied by the Shardies to reconnoiter by making use of his “turtle” enhancements to avoid detection.",http://books.google.com/books/content?id=jtGhDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Christopher Barzak', 'Andy Duncan', 'Gwyneth Jones', 'Nick Mamatas', 'Paul McAuley', 'Linda Nagata', 'Hannu Rajaniemi', 'Robert Reed', 'Christopher Rowe', 'Bud Sparhawk'}",,,,,
384,So Fey,{'Fiction'},2011-07-12,320,,,,,NOT_MATURE,en,"Queer culture meets fey folklore in the pages of So Fey: Queer Fairy Fiction, an enchanting anthology of fantastical tales for lovers of Lord of the Rings and all things Tolkien. But these faery stories have a magical twist--every one has an LGBT theme! The genre's top writers spin stories of coming out and growing old, of identity and loss, and of hardship, with a focus on youth and beauty, the love of the dance, wild passion and decadence, and the drama of vengeance and spurned love.",http://books.google.com/books/content?id=YaofkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"{'Holly Black', 'Christopher Barzak', 'Sarah Monette', 'Richard Bowes', 'Delia Sherman'}",,,,,
385,Uncanny Magazine Issue 8,,2015-12-22,,https://play.google.com/store/books/details?id=0xtACwAAQBAJ&rdid=book-0xtACwAAQBAJ&rdot=1&source=gbs_api,3.99,,,NOT_MATURE,en,"The January/February 2016 issue of Uncanny Magazine. Featuring new fiction by Maria Dahvana Headley, Nghi Vo, Christopher Barzak, Brit Mandelo, and Rose Lemberg, classic fiction by Sarah Rees Brennan, essays by Chris Kluwe, Max Gladstone, Isabel Schechter, and L.M. Myles, poetry by Kayla Whaley, Leslie J. Anderson, and Bryan Thao Worra, interviews with Maria Dahvana Headley and Christopher Barzak by Deborah Stanish, a cover by Priscilla H. Kim, and an editoral by Lynne M. Thomas and Michael Damian Thomas.",http://books.google.com/books/content?id=0xtACwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Maria Dahvana Headley', 'Christopher Barzak', 'Chris Kluwe', 'Brit Mandelo', 'Nghi Vo', 'Sarah Rees Brennan', 'Rose Lemberg', 'Max Gladstone'}",,,,,
386,Interfictions 2,{'Fiction'},2009,302,,,3.5,7,NOT_MATURE,en,"Twenty-one gems showing that the freshest, most startling stories come from the spaces between conventional genres.",http://books.google.com/books/content?id=hMTtGt62DN8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Delia Sherman', 'Christopher Barzak'}",,,,,
387,Steampunk Specs,{'Fiction'},2013-02-28,,https://play.google.com/store/books/details?id=inaiDwAAQBAJ&rdid=book-inaiDwAAQBAJ&rdot=1&source=gbs_api,4.99,,,NOT_MATURE,en,"This collection of unabridged, spectacular steampunk speculations includes several classics of the genre. These tales will sweep you away with their amazing automata, daring dirigibles, grinding gears, and scintillating steam as days long gone are infused with tech. In “Smoke City,” by Christopher Barzak, a woman comes to terms with the loss of her family to the child labor mills of the city. A doctor tries to cope with a strange plague terrorizing the citizens of London in Jeffrey Ford’s “Dr. Lash Remembers.” In “Machine Maid,” by Margo Lanagan, a sexually repressed wife gets revenge on her husband through a robot maid. Friedrich Engels strives to spread class revolution as a labor organizer for factory cyborg matchstick girls in Arbeitskraft, by Nick Mamatas. In “Ninety Thousand Horses,” by Sean McMullen, an acclaimed mathematician, with a murky past, is forced to spy for an industrialist prior to becoming Britain’s foremost rocket expert during World War II. An orphan boy builds an automaton, in an aging scientist’s laboratory, that becomes more than an idle companion in Cherie Priest’s “Tanglefoot (A Clockwork Century Story).” In “Clockwork Fairies,” by Cat Rambo, an English aristocrat courts a woman who would rather spend her time in a laboratory than at high society balls. At Chicago’s Columbian Exposition, in 1893, an Algerian bodyguard crosses paths with a disoriented naked man in Chris Roberson’s “Edison’s Frankenstein.”. In “A Serpent in the Gears,” by Margaret Ronald, a dirigible journeys to an isolated land and discovers people and animals merged with machine parts. Radio Jones finds a way to listen in on the Naked Brains, who rule the world, while Rudy the Red fights against the oppressors in “Zeppelin City,” by Michael Swanwick& Eileen Gunn.",http://books.google.com/books/content?id=inaiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Christopher Barzak', 'Jeffrey Ford', 'Eileen Gunn', 'Margo Lanagan', 'Nick Mamatas', 'Sean McMullen', 'Cherie Priest', 'Cat Rambo', 'Chris Roberson', 'Margaret Ronald', 'Michael Swanwick'}",,,,,
388,Interfictions 2,{'Fiction'},2009,302,,,3.5,7,NOT_MATURE,en,"Twenty-one gems showing that the freshest, most startling stories come from the spaces between conventional genres.",http://books.google.com/books/content?id=hMTtGt62DN8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Delia Sherman', 'Christopher Barzak'}",,,,,
389,De camino al final,{'Fiction'},2014-12-01,,https://play.google.com/store/books/details?id=lsuLBgAAQBAJ&rdid=book-lsuLBgAAQBAJ&rdot=1&source=gbs_api,7.99,,,NOT_MATURE,es,"Adam McCormick acababa de cumplir quince años cuando el cadáver fue encontrado en el bosque. Así comienza el otoño que cambiará su vida para siempre. Jamie Marks era un chico muy parecido a Adam, un chico al que nadie prestaba dema-siada atención; un chico al que casi nadie iba a echar de menos. Es entonces cuando, por primera vez, Adam siente que tiene un objetivo. Ahora más que nunca, Jamie necesita un amigo. Pero mientras Adam siga aferrado al fantasma de Jamie, su amigo seguirá atado a un mundo al que no pertenece... y los lazos que unen a Adam con la vida serán cada vez más frágiles. Para encontrar su camino de vuelta, Adam debe aprender por sí mismo el verdadero significado de estar vivo.",http://books.google.com/books/content?id=lsuLBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,{'Christopher Barzak'},,,,,
390,La voce segreta dei corvi,{'Fiction'},2008,352,,,,,NOT_MATURE,it,,,{'Christopher Barzak'},,,,,
