,author,language,length,link,quote,tags
92,Conn Iggulden,en,307,https://theysaidso.com/quote/conn-iggulden-courage-cannot-be-left-like-bones-in-a-bag-it-must-be-brought-out,"Courage cannot be left like bones in a bag. It must be brought out and shown the light again and again, growing stronger each time. If you think it will keep for the times you need it, you are wrong. It is like any other part of your strength. If you ignore it, the bag will be empty when you need it most.",{courage}
93,Jennifer Egan,en,108,https://theysaidso.com/quote/jennifer-egan-a-frenzy-of-activity-that-had-mostly-led-him-in-circles-wasnt-that,A frenzy of activity that had mostly led him in circles: wasn't that a fairly accurate description of lust?,"{lust, repetition}"
94,Jhumpa Lahiri,en,95,https://theysaidso.com/quote/jhumpa-lahiri-i-would-not-send-a-first-story-anywhere-i-would-give-myself-time-t,I would not send a first story anywhere. I would give myself time to write a number of stories.,"{numbers, thetimes, time}"
95,Michael Scott,en,161,https://theysaidso.com/quote/michael-scott-here-you-can-walk-into-a-bookstore-and-pick-up-a-bible-or-christia,"Here, you can walk into a bookstore and pick up a Bible or Christian literature and learn. Over there, they are lucky if they have one Bible for a whole village.",{literature}
96,Lev Grossman,en,238,https://theysaidso.com/quote/lev-grossman-in-a-way-fighting-was-just-like-using-magic-you-said-the-words-and,"In a way fighting was just like using magic. You said the words, and they altered the universe. By merely speaking you could create damage and pain, cause tears to fall, drive people away, make yourself feel better, make your life worse.","{fighting, magic}"
97,Dave Eggers,en,294,https://theysaidso.com/quote/dave-eggers-but-while-sasha-told-us-that-in-america-even-the-most-successful-men,"But while Sasha told us that in America even the most successful men can have but one wife at once--my father had six--and talked about escalators, indoor plumbing, and the various laws of the land, he did not warn us that I would be told by American teenagers that I should go back to Africa.",{nonfiction}
98,Dai Sijie,en,94,https://theysaidso.com/quote/dai-sijie-in-chinese-love-stories-the-one-who-loves-always-starts-by-borrowing-a,In Chinese love stories the one who loves always starts by borrowing a book from the beloved.,"{book, tso-love}"
99,Marie Arana,en,148,https://theysaidso.com/quote/marie-arana-in-the-long-history-of-male-and-female-relations-all-the-way-back-to,"In the long history of male and female relations all the way back to the Garden, I can't think of one in which a woman's anger ever won over a man.",{relationships}
100,Rudy Wiebe,en,214,https://theysaidso.com/quote/rudy-wiebe-understand-is-not-the-word-you-are-right-you-can-never-really-underst,"Understand is not the word; you are right, you can never really 'understand' about someone, anyone, even yourself. It is best to believe in them as human; feel that they are alive like you and need warmth, concern.","{literature, wiebe}"
101,Jon Krakauer,en,78,https://theysaidso.com/quote/jon-krakauer-mr-franz-i-think-careers-are-a-20th-century-invention-and-i-dont-wa,"Mr. Franz, I think careers are a 20th century invention and I don't want one.",{inspirational}
102,Sarah Dessen,en,381,https://theysaidso.com/quote/sarah-dessen-some-people-they-cant-just-move-on-you-know-mourn-and-cry-and-be-do,"Some people, they can't just move on, you know, mourn and cry and be done with it. Or at least seem to be. But for me.. I don't know. I didn't want to fix it, to forget. It wasn't something that was broken. It's just.. Something that happened. And like that hole, I'm just finding ways, every day, of working around it. Respecting and remembering and getting on at the same time.","{life, mourning}"
103,Myla Goldberg,en,151,https://theysaidso.com/quote/myla-goldberg-she-has-often-felt-that-her-outsides-were-too-dull-for-her-insides,"She has often felt that her outsides were too dull for her insides, that deep within her there was something better than what everyone else could see.","{life, soul}"
104,Jodi Picoult,en,139,https://theysaidso.com/quote/jodi-picoult-you-would-wind-up-as-a-cat-i-told-her-they-dont-need-anyone-else-i,"You would wind up as a cat, I told her. They don't need anyone else. I need you, she replied. Well, I said. Maybe I'll come back as catnip.","{cat, jodi-picoult, my-sister-s-keeper, reincarnation, wit}"
105,Clea Koff,en,187,https://theysaidso.com/quote/clea-koff-that-is-why-it-could-happen-anywhere-given-the-right-ingredients-parti,"That is why it could happen anywhere, given the right ingredients: particular people in government, competing with others- or with each other- over natural and wealth-creating resources.","{bone, woman}"
106,Tanith Lee,en,180,https://theysaidso.com/quote/tanith-lee-im-writing-what-comes-into-my-head-or-through-me-or-from-somewhere-el,"I'm writing what comes into my head, or through me, or from somewhere else, and it is the most extraordinary, exciting thing. I love it, and I'm very greedy, and I really enjoy it!",{tso-love}
107,Stephen Fry,en,54,https://theysaidso.com/quote/stephen-fry-stop-feeling-sorry-for-yourself-and-you-will-be-happy,Stop feeling sorry for yourself and you will be happy.,"{inspirational, philosophy}"
108,Amor Towles,en,111,https://theysaidso.com/quote/amor-towles-thats-how-quickly-new-york-city-comes-about-like-a-weather-wane-or-t,That's how quickly New York City comes about - like a weather wane - or the head of a cobra. Time tells which.,"{new-york-city, nyc}"
109,Ian McEwan,en,141,https://theysaidso.com/quote/ian-mcewan-the-cost-of-oblivious-daydreaming-was-always-this-moment-of-return-th,"The cost of oblivious daydreaming was always this moment of return, the realignment with what had been before and now seemed a little worse.","{daydreaming, dreams, fantasy, imagination, life}"
110,John Berger,en,649,https://theysaidso.com/quote/john-berger-a-mans-death-makes-everything-certain-about-him-of-course-secrets-ma,"A man's death makes everything certain about him. Of course, secrets may die with him. And of course, a hundred years later somebody looking through some papers may discover a fact which throws a totally different light on his life and of which all the people who attended his funeral were ignorant. Death changes the facts qualitatively but not quantitatively. One does not know more facts about a man because he is dead. But what one already knows hardens and becomes definite. We cannot hope for ambiguities to be clarified, we cannot hope for further change, we cannot hope for more. We are now the protagonists and we have to make up our minds.","{death, facts, life}"
111,James Gleick,en,86,https://theysaidso.com/quote/james-gleick-ideas-that-require-people-to-reorganize-their-picture-of-the-world,Ideas that require people to reorganize their picture of the world provoke hostility.,"{chaos, chaos-theory, life, mathematics, paradigm, paradigm-shift, philosophy, physics, science, thomas-kuhn}"
112,Daria Snadowsky,en,141,https://theysaidso.com/quote/daria-snadowsky-pain-was-my-tie-to-a-past-that-a-part-of-me-wanted-to-hold-on-to,"Pain was my tie to a past that a part of me wanted to hold on to. The more I hurt, the more I knew I loved, and that felt like a good thing.",{breakups}
113,Arundhati Roy,en,368,https://theysaidso.com/quote/arundhati-roy-people-are-so-isolated-and-so-alone-and-so-suspicious-and-so-compe,"People are so isolated, and so alone, and so suspicious, and so competitive with each other, and so sure that they are about to be conned by their neighbor, or by their mother, or by their sister, or their grandmother. What's the use of having fifty percent of the world's wealth, or whatever it is that you have, if you're going to live this pathetic, terrified life?",{}
114,Charles de Lint,en,146,https://theysaidso.com/quote/charles-de-lint-i-was-going-through-the-motions-of-life-instead-of-really-living,"I was going through the motions of life, instead of really living, and there's no excuse for that. It's not something I'll let happen to me again.",{life}
115,Suze Orman,en,142,https://theysaidso.com/quote/suze-orman-we-never-had-it-as-rough-as-the-kids-have-it-today-look-at-the-price,"We never had it as rough as the kids have it today,.. Look at the price of a gallon of gas or a piece of real estate or a college education.",{}
116,Jeffrey Eugenides,en,260,https://theysaidso.com/quote/jeffrey-eugenides-we-greeks-are-a-moody-people-suicide-makes-sense-to-us-putting,We Greeks are a moody people. Suicide makes sense to us. Putting up Christmas lights after your own daughter does it--that makes no sense. What my yia yia could never understand about America was why everyone pretended to be happy all the time.-Mrs. Karafilis,"{jeffrey-eugenides, pretend-happiness, suicide, the-virgin-suicides}"
117,Yann Martel,en,71,https://theysaidso.com/quote/yann-martel-my-feelings-can-perhaps-be-imagined-but-they-can-hardly-be-described,"My feelings can perhaps be imagined, but they can hardly be described.",{feelings}
118,Roy MacGregor,en,126,https://theysaidso.com/quote/roy-macgregor-all-the-gravestones-offered-were-dates-something-to-serve-as-mere,"All the gravestones offered were dates, something to serve as mere parentheses around what really happened in a person's life.",{}
119,Barack Obama,en,154,https://theysaidso.com/quote/barack-obama-even-the-smallest-act-of-service-the-simplest-act-of-kindness-is-a,"Even the smallest act of service, the simplest act of kindness, is a way to honor those we lost; a way to reclaim that spirit of unity that followed 9/11.","{honor, kindness, reclaim, service, spirit, unity}"
120,Sapphire,en,35,https://theysaidso.com/quote/sapphire-depression-is-anger-turned-inward,Depression is anger turned inward.,"{depression, precious}"
121,Jared Diamond,en,245,https://theysaidso.com/quote/jared-diamond-twenty-years-ago-you-might-have-been-pessimistic-and-said-theres-n,"Twenty years ago, you might have been pessimistic and said there's no hope. But these days, some of our very biggest companies are acting remarkably cleanly. And in some cases, although not all cases, the CEOs are the driving forces behind that.",{force}
122,Markus Zusak,en,63,https://theysaidso.com/quote/markus-zusak-she-took-a-step-and-didnt-want-to-take-any-more-but-she-did,"She took a step and didn't want to take any more, but she did.","{heartbreak, loss, moving, moving-on, stepping}"
123,P. D. James,en,54,https://theysaidso.com/quote/p-d-james-what-a-child-doesnt-receive-he-can-seldom-later-give,What a child doesn't receive he can seldom later give.,{}
124,Jake Wizner,en,88,https://theysaidso.com/quote/jake-wizner-i-wrote-you-this-poem-because-i-was-afraid-to-come-out-and-tell-you,I wrote you this poem because i was afraid/ To come out and tell you i want to get laid.,{shakespeare}
125,Sheryl WuDunn,en,358,https://theysaidso.com/quote/sheryl-wudunn-decades-from-now-people-will-look-back-and-wonder-how-societies-co,"Decades from now, people will look back and wonder how societies could have acquiesced in a sex slave trade in the twenty-first century that is.. Bigger than the transatlantic slave trade was in the nineteenth. They will be perplexed that we shrugged as a lack of investment in maternal health caused half a million women to perish in childbirth each year.","{nonfiction, women-s-rights}"
126,Nora Roberts,en,95,https://theysaidso.com/quote/nora-roberts-a-woman-with-romance-in-her-life-lived-as-grandly-as-a-queen-becaus,"A woman with romance in her life lived as grandly as a queen, because her heart was treasured.","{romance, tso-love}"
127,James Gleick,en,86,https://theysaidso.com/quote/james-gleick-thinking-about-language-while-thinking-in-language-leads-to-puzzles,"Thinking about language, while thinking _in_ language, leads to puzzles and paradoxes.","{babbage, information}"
128,Gary Webb,en,249,https://theysaidso.com/quote/gary-webb-after-spending-three-years-of-my-life-looking-into-this-i-am-more-conv,"After spending three years of my life looking into this, I am more convinced than ever that the U.S. Government's responsibility for the drug problems in South Central Los Angeles and other inner cities is greater than I ever wrote in the newspaper.","{government, life}"
129,Lev Grossman,en,311,https://theysaidso.com/quote/lev-grossman-quentin-had-an-obsolete-sailing-ship-that-had-been-raised-from-the,"Quentin had an obsolete sailing ship that had been raised from the dead. He had psychotically effective swordsman and an enigmatic witch-queen. It wasn't the Fellowship of the Ring, but then again he wasn't trying to save the world from Sauron, he was trying to perform a tax audit on a bunch of hick islanders",{tolkien}
130,Michael Palin,en,500,https://theysaidso.com/quote/michael-palin-it-was-a-strange-feeling-going-into-a-church-i-did-not-know-for-a,"It was a strange feeling going into a church I did not know for a service that I did not really believe in, but once inside I couldn't help a feeling of warmth and security. Outside there were wars and road accidents and murders, striptease clubs and battered babies and frayed tempers and unhappy marriages and people contemplating suicide and bad jokes, but once in St. Martin's there was peace. Surely people go to church not to involve themselves in the world's problems but to escape from them.","{church, contemplation, peace, problems, religion}"
131,Bernhard Schlink,en,1168,https://theysaidso.com/quote/bernhard-schlink-being-ill-when-you-are-a-child-or-growing-up-is-such-an-enchant,"Being ill when you are a child or growing up is such an enchanted interlude! The outside world, the world of free time in the yard or the garden or on the street, is only a distant murmmur in the sickroom. Inside, a whole world of characters and stories proliferate out of the books you read. The fever that weakens your perception as it sharpens your imagination turns the sickroom into something new, both familiar and strange; monsters come grinning out of the patterns on the curtains and the carpet, and chairs, tables, bookcases and wardrobes burst out of their normal shapes and become mountains and buildings and ships you can almost touch although they're far away. Through the long hours of the night you have the Church clock for company and the rumble of the occasional passing car that throws it's headlights across the walls and ceilings. These are hours without sleep, which is not to say they're sleepless, because on the contrary, they're not about lack of anything, they are rich and full. Desires, memories, fears, passions form labryinths in which we lose and find then lose ourselves again. They are hours where anything is possible, good or bad.","{being-ill, books, childhood, imagination, reading}"
132,James Ellroy,en,92,https://theysaidso.com/quote/james-ellroy-i-love-thinking-about-american-history-thinking-about-la-history-i,"I love thinking about American history, thinking about LA history. I love brooding on crime.","{crime, history, tso-love}"
133,Gennifer Choldenko,en,180,https://theysaidso.com/quote/gennifer-choldenko-nobody-knows-how-things-will-turn-out-thats-why-they-go-ahead,"Nobody knows how things will turn out, that's why they go ahead and play the game.. You give it your all and sometimes amazing things happen, but it's hardly ever what you expect.","{live-in-the-moment, optimism, possibility, uncertainty}"
134,Haruki Murakami,en,364,https://theysaidso.com/quote/haruki-murakami-ive-been-lonely-for-so-long-and-ive-been-hurt-so-deeply-if-only,"I've been lonely for so long. And I've been hurt so deeply. If only I could have met you again a long time ago, then I wouldn't have had to take all these detours to get here.'Tengo shook his head. 'I don't think so. This way is just fine. This is exactly the right time. For both of us. {..} We needed that much time.. To understand how lonely we really were.","{fate, tso-love}"
135,Jim Crace,en,100,https://theysaidso.com/quote/jim-crace-these-are-the-stories-that-we-tell-ourselves-and-only-ourselves-and-th,"These are the stories that we tell ourselves and only ourselves, and they are better left unshared.","{ashamed, secrets, thoughts}"
136,Brian Greene,en,249,https://theysaidso.com/quote/brian-greene-his-father-was-a-great-guy-and-was-always-a-good-fan-he-loved-duke,"His father was a great guy and was always a good fan. He loved Duke football, and he loved his son, which is why Jim is struggling with this so much. He loved his dad. We're all feeling for him right now, and we hope he gets through this tough time.",{}
137,Paul Quarrington,en,191,https://theysaidso.com/quote/paul-quarrington-mind-you-thunder-bay-has-a-lot-of-outskirts-its-actually-two-ci,"Mind you, Thunder Bay has a lot of outskirts. It's actually two cities melded together, so in a sense it has twice as many outskirts as other places. It's understandable that we got lost..","{cities, direction, lost, thunder_bay}"
138,Jhumpa Lahiri,en,334,https://theysaidso.com/quote/jhumpa-lahiri-he-owned-an-expensive-camera-that-required-thought-before-you-pres,"He owned an expensive camera that required thought before you pressed the shutter, and I quickly became his favorite subject, round-faced, missing teeth, my thick bangs in need of a trim. They are still the pictures of myself I like best, for they convey that confidence of youth I no longer possess, especially in front of a camera.","{confidence, photography, photos, pictures, youth}"
139,Jon Krakauer,en,460,https://theysaidso.com/quote/jon-krakauer-the-seas-only-gifts-are-harsh-blows-and-occasionally-the-chance-to,"The sea's only gifts are harsh blows, and occasionally the chance to feel strong. Now I don't know much about the sea, but I do know that that's the way it is here. And I also know how important it is in life not necessarily to be strong but to feel strong. To measure yourself at least once. To find yourself at least once in the most ancient of human conditions. Facing the blind death stone alone, with nothing to help you but your hands and your own head.",{inspirational}
140,Olga Tokarczuk,en,67,https://theysaidso.com/quote/olga-tokarczuk-ograniczenie-umysowe-i-okruciestwo-ludzkie-nie-zna-granic,(..) ograniczenie umys?owe i okrucie?stwo ludzkie nie zna granic.,"{cruelty, narrowmindedness, people}"
141,Scott Anderson,en,115,https://theysaidso.com/quote/scott-anderson-alex-is-going-to-put-pressure-on-you-with-his-legs-if-he-gets-int,"Alex is going to put pressure on you with his legs. If he gets into your secondary, he becomes like a running back.",{}
142,Joyce Carol Oates,en,48,https://theysaidso.com/quote/joyce-carol-oates-in-love-there-are-two-things-bodies-and-words,In love there are two things - bodies and words.,{tso-love}
143,Julia Child,en,295,https://theysaidso.com/quote/julia-child-i-found-that-the-recipes-in-most-in-all-the-books-i-had-were-really,"I found that the recipes in most - in all - the books I had were really not adequate. They didn't tell you enough.. I won't do anything unless I'm told why I'm doing it. So I felt that we needed fuller explanations so that if you followed one of those recipes, it should turn out exactly right.",{rights}
144,Geraldine Brooks,en,135,https://theysaidso.com/quote/geraldine-brooks-who-is-the-brave-man-he-who-feels-no-fear-if-so-then-bravery-is,"Who is the brave man--he who feels no fear? If so, then bravery is but a polite term for a mind devoid of rationality and imagination.","{bravery, fear}"
145,Cody McFadyen,en,52,https://theysaidso.com/quote/cody-mcfadyen-lgen-schmerzen-die-wahrheit-jedoch-bewegt-uns,"Lügen schmerzen, die Wahrheit jedoch bewegt uns.","{books, inspirational, reading}"
146,Sue Stauffacher,en,222,https://theysaidso.com/quote/sue-stauffacher-do-you-remember-his-science-project-harry-sue-on-the-trajectory,"Do you remember his science project, Harry Sue, on the trajectory of spitballs? I tell you, that modest little display taught our students more about physics than I could accomplish in a weeklong unit at the middle school","{funny, humor, science}"
147,Oliver Sacks,en,524,https://theysaidso.com/quote/oliver-sacks-there-are-of-course-inherent-tendencies-to-repetition-in-music-itse,"There are, of course, inherent tendencies to repetition in music itself. Our poetry, our ballads, our songs are full of repetition; nursery rhymes and the little chants and songs we use to teach young children have choruses and refrains. We are attracted to repetition, even as adults; we want the stimulus and the reward again and again, and in music we get it. Perhaps, therefore, we should not be surprised, should not complain if the balance sometimes shifts too far and our musical sensitivity becomes a vulnerability.","{earworms, hypotheses, hypothesis, music, neuroscience, psychology, science, songs, theories}"
148,Dr. Seuss,en,106,https://theysaidso.com/quote/dr-seuss-the-more-that-you-read-the-more-things-you-will-know-the-more-that-you,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.","{places, reading}"
149,Jennifer Egan,en,121,https://theysaidso.com/quote/jennifer-egan-it-was-the-hat-he-looked-sweet-in-the-hat-how-could-a-man-in-a-fuz,It was the hat. He looked sweet in the hat. How could a man in a fuzzy blue hat have used human bones to pave his roads?,"{funny, hats, humor, war-crimes}"
150,Anthony Horowitz,en,157,https://theysaidso.com/quote/anthony-horowitz-show-holmes-a-drop-of-water-and-he-would-deduce-the-existence-o,Show Holmes a drop of water and he would deduce the existence of the Atlantic. Show it to me and I would look for a tap. That was the difference between us.,"{brains, deduction, genius, intelligence, mental-power, sherlock-holmes}"
151,Joan Didion,en,127,https://theysaidso.com/quote/joan-didion-i-write-entirely-to-find-out-what-im-thinking-what-im-looking-at-wha,"I write entirely to find out what I'm thinking, what I'm looking at, what I see and what it means. What I want and what I fear.",{}
152,Peter Matthiessen,en,79,https://theysaidso.com/quote/peter-matthiessen-in-nonfiction-you-have-that-limitation-that-constraint-of-tell,"In nonfiction, you have that limitation, that constraint, of telling the truth.",{truth}
153,Daniel H. Pink,en,248,https://theysaidso.com/quote/daniel-h-pink-newtonian-physics-runs-into-problems-at-the-subatomic-level-down-t,"Newtonian physics runs into problems at the subatomic level. Down there--in the land of hadrons, quarks, and Schrödinger's cat--things gent freaky. The cool rationality of Isaac Newton gives way to the bizarre unpredictability of Lewis Carroll.",{motivation}
154,Harlan Coben,en,397,https://theysaidso.com/quote/harlan-coben-myron-lay-sprawled-next-to-a-knee-knockingly-gorgeous-brunette-clad,"Myron lay sprawled next to a knee-knockingly gorgeous brunette clad only in a Class-B-felony bikini, a tropical drink sans umbrella in one hand, the aqua clear Caribbean water lapping at his feet, the sand a dazzling white powder, the sky a pure blue that could only be God's blank canvas, the sun a soothing and rich as a Swedish masseur with a snifter of cognac, and he was intensely miserable.",{suspense}
155,Tamora Pierce,en,68,https://theysaidso.com/quote/tamora-pierce-you-must-tell-lady-alanna-that-sometime-id-do-it-from-a-distance,You must tell Lady Alanna that sometime. I'd do it from a distance.,"{boys, daine, fighting, misogyny, owned}"
156,Jill Ciment,en,68,https://theysaidso.com/quote/jill-ciment-if-you-look-closely-youll-find-all-my-lovers-inscribed-on-my-skin,If you look closely you'll find all my lovers inscribed on my skin.,"{lovers, tso-love}"
157,Slavenka Drakulic,en,97,https://theysaidso.com/quote/slavenka-drakulic-to-have-a-son-in-wartime-is-the-worst-curse-that-can-befall-a,"To have a son in wartime is the worst curse that can befall a mother, no matter what anyone says.",{}
158,Kent Haruf,en,181,https://theysaidso.com/quote/kent-haruf-here-was-this-man-tom-guthrie-in-holt-standing-at-the-back-window-in,Here was this man Tom Guthrie in Holt standing at the back window in the kitchen of his house smoking cigarettes and looking out over the back lot where the sun was just coming up.,{first-sentence}
159,Dinaw Mengestu,en,450,https://theysaidso.com/quote/dinaw-mengestu-it-is-always-the-first-and-last-steps-that-are-the-hardest-to-tak,"It is always the first and last steps that are the hardest to take. We walk away and try not to turn back, or we stand just outside the gates, terrified to find what's waiting for us now that we've returned. In between, we stumble blindly from one place and life to the next. We try to do the best we can. There are moments like this, however, when we are neither coming nor going, and all we have to do is sit and look back on the life we have made.","{life-and-living, reflection}"
160,W.G. Sebald,en,350,https://theysaidso.com/quote/wg-sebald-perhaps-we-all-lose-our-sense-of-reality-to-the-precise-degree-to-whic,"Perhaps we all lose our sense of reality to the precise degree to which we are engrossed in our own work, and perhaps that is why we see in the increasing complexity of our mental constructs a means for greater understanding, even while intuitively we know that we shall never be able to fathom the imponderables that govern our course through life.","{delusion, order, understanding}"
161,Meg Howrey,en,91,https://theysaidso.com/quote/meg-howrey-if-only-we-could-crawl-inside-our-dreams-and-live-there-why-cant-i-li,If only we could crawl inside our dreams and live there. Why can't I live inside my dream?,{dreams}
162,Christos Tsiolkas,en,112,https://theysaidso.com/quote/christos-tsiolkas-queria-passar-mais-uns-minutos-no-mundo-que-nao-fosse-dominado,Queria passar mais uns minutos no mundo que não fosse dominado pela hierarquia e o snobismo e a vingança.,{world}
163,Michael Scott,en,322,https://theysaidso.com/quote/michael-scott-magic-is-really-only-the-utilization-of-the-entire-spectrum-of-the,"Magic is really only the utilization of the entire spectrum of the senses. Humans have cut themselves off from their senses. Now they see only a tiny portion of the visible spectrum, hear only the loudest of sounds, their sense of smell is shockingly poor and they can only distinguish the sweetest and sourest of tastes.","{magic, senses}"
164,Mitch Albom,en,109,https://theysaidso.com/quote/mitch-albom-people-are-only-mean-when-theyre-threatened-and-thats-what-our-cultu,"People are only mean when they're threatened, and that's what our culture does. That's what our economy does.","{culture, people}"
165,Paul Rusesabagina,en,352,https://theysaidso.com/quote/paul-rusesabagina-i-still-wonder-how-policy-officials-can-sit-down-at-the-table,"I still wonder how policy officials.. Can sit down at the table with their families and have any appetite for food, or go to sleep at night, knowing that they failed to act. Human beings were sacrificed for political convenience. This would be enough, I think, to turn any reasonable man into a prisoner of his own conscience for the rest of his life.",{politics}
166,Yasmina Khadra,en,195,https://theysaidso.com/quote/yasmina-khadra-for-a-man-to-think-he-can-fulfil-his-destiny-without-a-woman-is-a,"For a man to think he can fulfil his destiny without a woman is a misunderstanding, a miscalculation; it is reckless and folly. Certainly a woman is not everthing, but everything depends on her.",{woman}
167,Kristin Cashore,en,121,https://theysaidso.com/quote/kristin-cashore-well-i-always-like-it-when-you-kiss-medo-youyoure-good-at-itwell,"Well. I always like it when you kiss me. Do you?You're good at it. Well, that's lucky, because I'll always be kissing you.","{brigan, fire}"
168,Chimamanda Ngozi Adichie,en,309,https://theysaidso.com/quote/chimamanda-ngozi-adichie-richard-exhaled-it-was-like-somebody-sprinkling-pepper,"Richard exhaled. It was like somebody sprinkling pepper on his wound: Thousands of Biafrans were dead, and this man wanted to know if there was anything new about one dead white man. Richard would write about this, the rule of Western journalism: One hundred dead black people equal to one dead white person.","{racism, western-journalism}"
170,Rudy Wiebe,en,214,https://theysaidso.com/quote/rudy-wiebe-understand-is-not-the-word-you-are-right-you-can-never-really-underst,"Understand is not the word; you are right, you can never really 'understand' about someone, anyone, even yourself. It is best to believe in them as human; feel that they are alive like you and need warmth, concern.","{literature, wiebe}"
171,April Lurie,en,17,https://theysaidso.com/quote/april-lurie-shell-be-apples,She'll be apples,{power}
172,Carol Burnett,en,228,https://theysaidso.com/quote/carol-burnett-when-someone-who-is-known-for-being-comedic-does-something-straigh,"When someone who is known for being comedic does something straight, it' s always 'a big breakthrough' or a 'radical departure.' Why is it no one ever says that if a straight actor does comedy Are they presuming comedy is easier",{comedy}
173,Philip Roth,en,216,https://theysaidso.com/quote/philip-roth-it-isnt-that-you-subordinate-your-ideas-to-the-force-of-the-facts-in,It isn't that you subordinate your ideas to the force of the facts in autobiography but that you construct a sequence of stories to bind up the facts with a persuasive hypothesis that unravels your history's meaning.,"{force, history}"
174,Stephen Fry,en,110,https://theysaidso.com/quote/stephen-fry-i-am-a-lover-of-truth-a-worshipper-of-freedom-a-celebrant-at-the-alt,"I am a lover of truth, a worshipper of freedom, a celebrant at the altar of language and purity and tolerance.","{language, truth}"
175,Rebecca Skloot,en,199,https://theysaidso.com/quote/rebecca-skloot-black-patients-were-treated-much-later-in-their-disease-process-t,Black patients were treated much later in their disease process. They were often not given the same kind of pain management that white patients would have gotten and they died more often of diseases.,{pain}
176,Bruce Coville,en,23,https://theysaidso.com/quote/bruce-coville-luster-bring-me-home,"Luster, bring me home.","{childrens, fantasy, unicorns}"
177,Edward W. Said,en,133,https://theysaidso.com/quote/edward-w-said-i-dont-remember-when-exactly-i-read-my-first-comic-book-but-i-do-r,"I don't remember when exactly I read my first comic book, but I do remember exactly how liberated and subversive I felt as a result.","{comic-books, comics, liberation, subversion}"
178,Leo Tolstoy,en,297,https://theysaidso.com/quote/leo-tolstoy-love-hinders-death-love-is-life-all-everything-that-i-understand-i-u,"Love hinders death. Love is life. All, everything that I understand, I understand only because I love. Everything is, everything exists, only because I love. Everything is united by it alone. Love is God, and to die means that I, a particle of love, shall return to the general and eternal source.","{death, life, tso-love}"
179,Markus Zusak,en,47,https://theysaidso.com/quote/markus-zusak-ignoraba-que-las-palabras-pudieran-pesar-tanto,Ignoraba que las palabras pudieran pesar tanto.,"{books, friendship, markus-zusak, messenger, tso-love}"
180,Marisha Pessl,en,265,https://theysaidso.com/quote/marisha-pessl-well-life-isnt-a-cakewalk-is-it-eighty-nine-percent-of-the-worlds,"Well, life isn't a cakewalk, is it! Eighty-nine percent of the world's most valuable art was created by men living in rat-infested flats. You think Velásquez wore Adidas? You think he enjoyed the luxuries of central heating and twenty-four-hour pizza delivery!","{art, funny, humor}"
181,Karin Slaughter,en,100,https://theysaidso.com/quote/karin-slaughter-you-didnt-realize-what-was-passing-you-by-until-you-slowed-down,You didn't realize what was passing you by until you slowed down a little bit to get a better look.,{realization}
182,Dani Shapiro,en,563,https://theysaidso.com/quote/dani-shapiro-in-the-country-i-stopped-being-a-person-who-in-the-words-of-sylvia,"In the country, I stopped being a person who, in the words of Sylvia Boorstein,. I grew calmer, but beneath that calm was a deep well of loneliness I hadn't known was there... Anxiety was my fuel. When I stopped, it was all waiting for me: fear, anger, grief, despair, and that terrible, terrible loneliness. What was it about? I was hardly alone. I loved my husband and son. I had great friends, colleagues, students. In the quiet, in the extra hours, I was forced to ask the question, and to listen carefully to the answer: I was lonely for myself. {p. 123}",{loneliness}
183,Leslie Marmon Silko,en,170,https://theysaidso.com/quote/leslie-marmon-silko-i-will-tell-you-something-about-stories-they-arent-just-ente,"I will tell you something about stories... They aren't just entertainment. Don't be fooled. They are all we have, you see, all we have to fight off illness and death.",{storytelling}
184,Bernard Bailyn,en,153,https://theysaidso.com/quote/bernard-bailyn-what-gave-transcendent-importance-to-the-aggressiveness-of-power,"What gave transcendent importance to the aggressiveness of power was the fact that its natural prey, its necessary victim, was liberty, or law, or right.","{liberty, power, rights}"
185,Jan Karon,en,102,https://theysaidso.com/quote/jan-karon-it-was-a-wonderful-life-to-have-a-stage-play-right-in-this-room-with-r,"It was a wonderful life. To have a stage play right in this room, with real people acting real parts.","{life, parts, people, play, stage}"
186,Chris Bohjalian,en,87,https://theysaidso.com/quote/chris-bohjalian-but-its-funny-how-the-memory-works-and-how-sometimes-we-just-bel,But it's funny how the memory works and how sometimes we just belive whatever we want.,"{memories, reality}"
187,Cynthia Ozick,en,65,https://theysaidso.com/quote/cynthia-ozick-to-imagine-the-unimaginable-is-the-highest-use-of-the-imagination,To imagine the unimaginable is the highest use of the imagination,{}
188,Michael Connelly,en,266,https://theysaidso.com/quote/michael-connelly-i-think-thered-be-huge-losses-if-there-werent-newspapers-i-know,"I think there'd be huge losses if there weren't newspapers. I know everything's shifting to the Internet and some people would say, 'News is news, what you're talking about is a change of consumption, not the product that's out there.' But I think there is a change.","{change, people, products}"
189,Libba Bray,en,23,https://theysaidso.com/quote/libba-bray-to-each-his-own-magic,To each his own magic.,"{kartik, magic}"
190,Dick Francis,en,156,https://theysaidso.com/quote/dick-francis-i-wondered-to-what-extent-people-remained-the-same-as-theyd-been-wh,"I wondered to what extent people remained the same as they'd been when very young, if one peeled back the layers of living one would come to the know child.",{people}
