,first_name,last_name,on_tour,bestsellers,spotlight,image
85,Ian,McEwan,False,True,"Ian McEwan is the bestselling author of seventeen books, including the novels&#160;<i>Nutshell</i>;<i>&#160;The Children Act</i>;&#160;<i>Sweet Tooth</i>;&#160;<i>Solar</i>, winner of the Bollinger Everyman Wodehouse Prize;&#160;<i>Saturday</i>;&#160;<i>Atonement</i>, winner of the National Book Critics Circle Award and the W. H. Smith Literary Award;&#160;<i>The Comfort of Strangers</i>&#160;and&#160;<i>Black Dogs</i>, both shortlisted for the Booker Prize;&#160;<i>Amsterdam</i>, winner of the Booker Prize; and&#160;<i>The Child in Time</i>, winner of the Whitbread Award; as well as the story collections&#160;<i>First Love, Last Rites</i>, winner of the Somerset Maugham Award, and&#160;<i>In Between the Sheets</i>.<br><br>www.ianmcewan.com",https://images.randomhouse.com/author/19880
86,MaryJanice,Davidson,False,True,"<b>MaryJanice Davidson </b>is the&nbsp;<i>New York Times</i>&nbsp;bestselling author of the&nbsp;Undead&nbsp;novels featuring Betsy Taylor;&nbsp;<i>Derik's Bane</i>; and the young adult novels featuring Jennifer Scales, written with her husband, Anthony Alongi. Her works also include the Wyndham Werewolf series and the Royal series.",https://images.randomhouse.com/author/227977
87,William,Doyle,False,True,William Doyle has written or cowritten five books.,https://images.randomhouse.com/author/7403
88,Marisha,Pessl,False,True,"<b>Marisha Pessl</b>&#160;is the author of <i>Night Film</i> and&#160;<i>Special Topics in Calamity Physics,</i>&#160;which won the John Sargent Sr. First Novel Prize (now the Center for Fiction&rsquo;s Flaherty-Dunnan First Novel Prize) and was selected as one of the 10 Best Books of the Year by <i>The New York Times Book Review</i>. Pessl grew up in Asheville, North Carolina, and currently resides in New York City.",https://images.randomhouse.com/author/75837
89,Lois W.,Banner,False,True,"Lois Banner has taught at Rutgers University, Princeton University, the University of Scranton, Hamilton College, the University of Maryland, and George Washington University. She is currently Professor of History and Gender Studies at the University of Southern California and is a past president of the American Studies Association and the Pacific Coast Branch, American Historical Association. Her previous books include <i>American Beauty; In Full Flower: Aging Women, Power, and Sexuality;</i> and <i>Finding Fran: History and Memory in the Lives of Two Women</i>. She and her husband live in Santa Monica, California.",https://images.randomhouse.com/author/1338
90,Martha,Grimes,False,True,"<b>Martha Grimes</b> is one of the few authors left carrying on the British detective mystery tradition, and doing it well. Scotland Yard Superintendent Richard Jury and sidekick Melrose Plant continue to enthrall readers with their clever, darkly humorous crime-solving careers.",https://images.randomhouse.com/author/11158
91,Paul,Quarrington,False,True,"The author of ten novels, Paul Quarrington was also a musician (most recently in the band Porkbelly Futures), an award-winning screenwriter and filmmaker, and an acclaimed non-fiction writer.<br><br>Paul Quarrington's novel, <b>Galveston</b>, was nominated for the Scotiabank Giller Prize; <b>King Leary</b> won the CBC's 2008 Canada Reads competition and the Stephen Leacock Memorial Medal; and <b>Whale Music</b> was awarded the Governor General's Literary Award for Fiction. Recently, Porkbelly Futures' self-titled second CD has been released to widespread acclaim, and Paul Quarrington's short film adaptation of <b>The Ravine</b>, entitled <i>Pavane</i>, was featured in the Moving Stories Short Film Festival. Paul Quarrington's non-fiction writing includes books on some of his favourite pastimes, such as fishing, hockey, and music. A regular contributor of book reviews, travel columns, and journalism to Canada's national newspapers and magazines, he also taught writing at Humber College and the University of Toronto. <br><br>Paul Quarringon passed away in January 2010.",https://images.randomhouse.com/author/24705
92,Paula Young,Shelton,False,True,"I was born in New York City, during an explosive time in American history, the 1960s. One day, my parents were watching the news on TV and saw black and white students being beaten for riding the bus together. When my parents saw this they knew right away that it was time for them to go back to the South and fight for civil rights for all. I was not even a year old when we moved to Atlanta, Georgia.&#160;<br><br>What I remember most about growing up in Atlanta was that our house was always full of people. During the civil rights movement, there would be people sleeping on our floor, meeting in our living room, and eating at our table. Later, when my dad ran for Congress, it was more of the same. I always had many aunts and uncles that were not related to us at all, but part of our family, nevertheless.<br><br>I&#160;went to a private school for the first couple of years of my education, one that my oldest sister, Andrea, integrated. When she graduated, she recommended that Lisa and I leave, too. It had not been a pleasant experience for her and she wanted to spare us the pain. I continued in public schools until my dad became the U.S. ambassador to the United Nations and we moved to New York again, where I finished high school at the United Nations School. Then, it was back to the South, to Duke University, for college. After that I headed to Uganda to try teaching. I loved it! I returned to New York one more time to get my master&rsquo;s degree in Education at Bank Street College.<br>&#160;<br>I started teaching in Atlanta public schools, and one summer I went to Washington, D.C., to work for the National Black Child Development Institute. I met the love of my life, Hilary Shelton, who impressed me with his passion for justice. I married him one year later. We have three amazing, creative, energetic sons&mdash;Caleb, Joshua, and Noah&mdash;who keep us very busy and quite entertained.&#160;<br><br>I always loved to write. I would write volumes of poetry, keep a diary, record my dreams, and write long letters, short stories, and even a television show. I wrote my first children&rsquo;s book as my master&rsquo;s thesis. My cousin illustrated it and I sent it out to countless publishers, and received countless rejections. I kept writing. My current work-in-progress features three amazing boys who bear a striking resemblance to my own sons.<br><br>As a first-grade teacher, I get to read a lot of children&rsquo;s books and I also enjoy storytelling. I began telling stories about the civil rights movement to our students, and one day a parent, who happened to be a published author, heard me and said, ""You should write this down."" Of course, I already had and he soon introduced me to his agent. And that&rsquo;s how I got to be a published author.",https://images.randomhouse.com/author/79566
93,Susanna,Vance,False,True,"<i>Susanna Vance lives in the rainy Northwest, in a little yellow house on a hill above a river. Her short stories have appeared in many literary publications. Her writing is known for its dark humor, quirky characters, and strong voice.</i><br><br>Susanna Vance has been named a <i>Publishers Weekly</i> Flying Start Author and her novel <i>Sights</i> is an ALA Best Book for Young Adults. <i>Deep</i> has been nominated by the American Library Association as a Best Book for Young Adults 2004. <br><br><br><b>ABOUT THE AUTHOR</b><br><br>Dear Readers and Fellow Changelings,<br><br>My stories are about transformation. In them, fat people don&#8217;t necessarily transform into thin ones, nor do snaggle-toothed computer nerds become prom queens&#8212;although sometimes they do because we all love that kind of thing. What interests me most, though, is change within one&#8217;s self. <br><br><i>Dark</i>, <i>quirky</i>, and <i>magical</i> are words used to describe my work. I&#8217;m a fan of those things. You need dark to distinguish light, and magic to find the edges of science. Even very young children love to snuggle in their cozy, well-lit bedrooms and enter the dark, spooky forests of a fairy tale. We have a taste for the gothic, although none of us want to be trapped in grim situations ourselves. When that does happen, it&#8217;s the brave or hilarious or unpredictable way we deal with it that defines who we are. For example, in <i>Sights</i>, displaced Baby Girl finally gives up trying to fit in and devotes herself to playing the accordion with her odd little band. The things that set her apart from her peers go on to transform her, and she regains the feisty confidence she was born with. <br><br>I think we all start out optimistic and ready to rock and roll. Things happen that change that. A single traumatic incident with school, friends, or family can shrivel the innocent self-satisfaction of early childhood. In <i>Deep</i>, sad, powerful Morgan sails away from her broken family but remains enshrouded by the past: her past is a constant mist that blurs the way she sees the world. Freedom from that mist comes to her through a spirited little girl who opens Morgan to viewing herself, and her family, in a different way.<br><br>Such change is possible. As a child, I daydreamed my way through years of school. Eager as I was to please my teachers, I was unable to control the cinematic, thrill-packed fantasies that overlaid the diagrams on the blackboard.<br><br>It wasn&#8217;t until young adulthood that it occurred to me that the antic daydreams&#8212;my demise!&#8211;&#8211;were stories competing to get <i>out</i>. Allowing characters to come forth, writing down their stories, turned out to be okay with everyone. All I had to do was improve my skills to get the stories properly written. I became a writer, and that changed everything. <br><br>I never became a thin, perfect-toothed prom queen, but I remain optimistic and ready to rock and roll. <br><br>Good luck to us all! <br><br><br>Susanna Vance<br><br><br><i>Learn more at <b>SusannaVance.com </b><br></i><br><br><b>PRAISE</b><br><br>SIGHTS<br><br>&#8212;An ALA Best Book for Young Adults<br>&#8212;A YALSA Best Books for Young Adults<br>&#8212;A <i>Publishers Weekly </i>Flying Start Author<i><br></i><br>&#8220;This commanding debut novel of eccentric outsiders shaking things up in a small town features a narrative voice of startling originality.&#8221;&#8212;Starred<i>, Publishers Weekly<br></i><br>&#8220;This unsual novel . . . contains a striking combination of tragedy and whimsy.&#8221;&#8212;Starred<i>, The Horn Book Magazine</i>",https://images.randomhouse.com/author/31889
94,Peter,Beard,False,True,"Peter Beard was born in New York City and graduated from Yale University. He is the author of The End of the Game, Eyelids of Morning, and Longing for Darkness. His photographs have appeared in many newspapers and magazines, including Paris Match, International Herald Tribune, The Times (London), Vogue, Vanity Fair, and Architectural Digest. Beard lives in Montauk, New York, and Nairobi, Kenya, with his wife, Najma, and his daughter, Zara.",https://images.randomhouse.com/author/1721
95,Geraldine,Brooks,False,True,"Geraldine Brooks&#160;is the author of the Pulitzer Prize&ndash;winning novel&#160;<i>March&#160;</i>and the international bestsellers&#160;<i>Caleb&rsquo;s Crossing</i>,&#160;<i>People of the Book</i>, and&#160;<i>Year of Wonders</i>. She has also written the acclaimed nonfiction works&#160;<i>Nine Parts of Desire</i>&#160;and&#160;<i>Foreign Correspondence</i>.&#160;Born and raised in Australia, Brooks lives in Massachusetts.",https://images.randomhouse.com/author/3378
96,Leslie Marmon,Silko,False,True,"Leslie Marmon Silko was born in 1948 to a family whose ancestry includes Mexican, Laguna Indian, and European forebears. She has said that her writing has at its core &ldquo;the attempt to identify what it is to be a half-breed or mixed-blood person.&rdquo; As she grew up on the Laguna Pueblo Reservation, she learned the stories and culture of the Laguna people from her great-grandmother and other female relatives. After receiving her B. A. in English at the University of New Mexico, she enrolled in the University of New Mexico law school but completed only three semesters before deciding that writing and storytelling, not law, were the means by which she could best promote justice. She married John Silko in 1970. Prior to the writing of <i>Ceremony</i>, she published a series of short stories, including &ldquo;The Man to Send Rain Clouds.&rdquo; She also authored a volume of poetry, <i>Laguna Woman: Poems</i>, for which she received the Pushcart Prize for Poetry.<p>In 1973, Silko moved to Ketchikan, Alaska, where she wrote <i>Ceremony</i>. Initially conceived as a comic story abut a mother&rsquo;s attempts to keep her son, a war veteran, away from alcohol, <i>Ceremony</i> gradually transformed into an intricate meditation on mental disturbance, despair, and the power of stories and traditional culture as the keys to self-awareness and, eventually, emotional healing. Having battled depression herself while composing her novel, Silko was later to call her book &ldquo;a ceremony for staying sane.&rdquo; Silko has followed the critical success of <i>Ceremony</i> with a series of other novels, including <i>Storyteller, Almanac for the Dead</i>, and <i>Gardens in the Dunes</i>. Nevertheless, it was the singular achievement of <i>Ceremony</i> that first secured her a place among the first rank of Native American novelists. Leslie Marmon Silko now lives on a ranch near Tucson, Arizona.</p>",https://images.randomhouse.com/author/239031
97,Diane,Johnson,False,True,DIANE JOHNSON is a best-selling author and two-time finalist for the National Book Award. She lives in Paris and San Francisco.,https://images.randomhouse.com/author/14592
98,Dani,Shapiro,True,True,"<p>DANI SHAPIRO is the author of the&#160;<i>New York Times</i>&#160;bestselling memoir&#160;<i>Inheritance,&#160;</i>as well as&#160;<i>Hourglass, Still Writing, Devotion,</i>&#160;and&#160;<i>Slow Motion</i>&#160;and five novels including&#160;<i>Black &amp; White</i>&#160;and&#160;<i>Family History</i>. Also an essayist and a journalist, Shapiro's short fiction, essays, and journalistic pieces have appeared in&#160;<i>The New Yorker, Granta, Tin House, One Story, Elle, Vogue, O, The Oprah Magazine, The New York Times Book Review,</i>&#160;the op-ed pages of the&#160;<i>New York Times</i>, and many other publications. She has taught in the writing programs at Columbia, NYU, the New School, and Wesleyan University; she is cofounder of the Sirenland Writers Conference in Positano, Italy. Shapiro is the host of the hit podcast,&#160;<i>Family Secrets.</i>&#160;She lives with her family in Litchfield County, Connecticut.</p>",https://images.randomhouse.com/author/27869
99,Lorna,Landvik,False,True,"<b>Lorna Landvik</b>&nbsp;is the author of the bestselling novels&nbsp;<i>Patty Jane's House of Curl</i>,&nbsp;<i>Your Oasis on Flame Lake</i>, and&nbsp;<i>The Tall Pine Polka</i>. She is also an actor, playwright, and proud hockey mom.",https://images.randomhouse.com/author/16619
100,Paul,Seesequasis,False,True,"PAUL SEESEQUASIS is a n&icirc;pis&icirc;hkop&acirc;wiyiniw (Willow Cree) writer, journalist, cultural advocate and commentator currently residing in Saskatoon, Saskatchewan. Since 2015, he has curated the Indigenous Archival Photo Project, an online and physical exhibition of archival Indigenous photographs that explores history, identity and the process of visual reclamation. His writing has appeared in <I>The Globe and Mail</I>, <I>The Walrus</I>, <I>Brick</I> and <I>Granta</I> magazines, among others. He has been active in the Indigenous arts, both as an artist and a policy maker, since the 1990s.",https://images.randomhouse.com/author/2149430
101,Robin,Sachs,False,True,"<b>Robin Sachs</b>'s career as an actor in film, television, and stage spanned two continents, having moved to the United States from his native England in 1991. His credits include&#160;<i>Buffy the Vampire Slayer</i>,&#160;<i>Alias</i>,&#160;<i>Dynasty</i>,&#160;<i>Rob Roy</i>,&#160;and&#160;<i>Chessgame</i>&#160;on television and&#160;<i>Galaxy Quest</i>,&#160;<i>Northfork</i>,&#160;<i>The Lost World: Jurassic Park</i>,&#160;<i>Megalodon</i>,&#160;and&#160;<i>Ocean&rsquo;s Eleven</i>&#160;in film. He also worked extensively in voice-over, animation, and on the London stage. He passed away in February 2013.",https://images.randomhouse.com/author/115511
102,Kenneth,Koch,False,True,"<b>KENNETH KOCH</b>&nbsp;has published many volumes of poetry, including&nbsp;<i>New Addresses,&nbsp;Straits</i>&nbsp;and&nbsp;<i>One Train.</i>&nbsp;He was awarded the Bollingen Prize for Poetry in 1995, in 1996 he received the Rebekah Johnson Bobbitt National Prize for Poetry awarded by the Library of Congress, and he received the first Phi Beta Kappa Poetry award in November of 2001.&nbsp;

His short plays, many of them produced off- and off-off-Broadway, are collected in&nbsp;<i>The Gold Standard: A Book of Plays.</i>&nbsp;He has also written several books about poetry, including&nbsp;<i>Wishes, Lies, and Dreams; Rose, Where Did You Get That Red?</i>; and, most recently,&nbsp;<i>Making Your Own Days: The Pleasures of Reading and Writing Poetry.</i>&nbsp;He taught undergraduates at Columbia University for many years. He passed away in 2002.",https://images.randomhouse.com/author/16036
103,Jim,Dale,False,True,"<p><b>Jim Dale</b>&nbsp;has won a record ten Audie Awards, two Grammy Awards, and seven Grammy nominations<b>&nbsp;</b>as a narrator.&nbsp;As an actor,&nbsp;he has received a British Academy Award nomination, a Tony Award, five Tony nominations, and four Drama Desk Awards. As a writer, he has received an Academy Award nomination for the song ""Georgy Girl.""</p><p>Dale is perhaps most famous for being the voice of all the Harry Potter audio books, in which he notably performs hundreds of distinct individual character's voices. He also voices the Harry Potter video games, as well as the interactive extra features on the Potter DVD releases.</p><p>&nbsp;</p><p>Awarded an MBE by Queen Elizabeth II in 2003, chiefly for his work promoting the work of chldren's literature, Dale&nbsp;was also&nbsp;inducted into the American Theater Hall of Fame in 2009.</p>",https://images.randomhouse.com/author/44504
104,Lincoln,Child,False,True,"<b>Lincoln Child</b>&nbsp;is the&nbsp;<i>New York Times&nbsp;</i>bestselling author of&nbsp;<i>The Forgotten Room</i>,&nbsp;<i>The Third Gate</i>,&nbsp;<i>Terminal Freeze</i>,&nbsp;<i>Deep Storm</i>,&nbsp;<i>Death Match</i>, and<i>&nbsp;Utopia</i>, as well as coauthor, with Douglas Preston, of numerous&nbsp;<i>New York Times</i>&nbsp;bestsellers, most recently&nbsp;<i>Crimson Shore</i>. He lives with his wife and daughter in Morristown, New Jersey.",https://images.randomhouse.com/author/36560
105,Wayne,Johnston,False,True,"WAYNE JOHNSTON was born and raised in the St. John's area of Newfoundland. His #1 nationally bestselling novels include&#160;<i>The Divine Ryans, A World Elsewhere, The Custodian of Paradise, The Navigator of New York</i>&#160;and&#160;<i>The Colony of Unrequited Dreams</i>, which has been made into a stage play and is being developed as a TV series. Johnston is also the author of the Charles Taylor Prize-winning and bestselling memoir,&#160;<i>Baltimore's Mansion</i>. He lives in Toronto.",https://images.randomhouse.com/author/14677
106,John,le Carré,False,True,"John le Carr&eacute; was born in 1931. For six decades, he wrote novels that came to define our age. The son of a confidence trickster, he spent his childhood between boarding school and the London underworld. At sixteen he found refuge at the university of Bern, then later at Oxford. A spell of teaching at Eton led him to a short career in British Intelligence (MI5&amp;6). He published his debut novel, <i>Call for the Dead</i>, in 1961 while still a secret servant. His third novel, <i>The Spy Who Came in from the Cold</i>, secured him a worldwide reputation, which was consolidated by the acclaim for his trilogy <i>Tinker Tailor Soldier Spy</i>, <i>The Honourable Schoolboy</i>, and <i>Smiley&rsquo;s People</i>. At the end of the Cold War,&#160; le Carr&eacute; widened his scope to explore an international landscape including the arms trade and the War on Terror. His memoir, <i>The Pigeon Tunnel</i>, was published in 2016 and the last George Smiley novel, <i>A Legacy of Spies</i>, appeared in 2017. He died on December 12, 2020.",https://images.randomhouse.com/author/2140966
107,Jon,Krakauer,False,True,"Jon Krakauer is the author of eight books and has received an Academy Award in Literature from the American Academy of Arts and Letters. According to the award citation, &ldquo;Krakauer combines the tenacity and courage of the finest tradition of investigative journalism with the stylish subtlety and profound insight of the born writer.&rdquo;<br><br>www.jonkrakauer.com",https://images.randomhouse.com/author/16213
108,Sheila,Turnage,False,True,"<b>Sheila Turnage</b>&#160;is from eastern North Carolina, just like Miss Moses LoBeau, the protagonist from the Mo &amp; Dale mystery series that began with<i> Three Times Lucky</i>.&#160;<i>Three Times Lucky&#160;</i>is a Newbery Honor Book, a&#160;<i>New York Times</i>&#160;bestseller, an E. B. White Read-Aloud Honor Book, and an Edgar Award finalist. It has been nominated for nineteen state awards, including the Texas Bluebonnet Master List, and has been licensed in five countries. Her follow-up book,&#160;<i>The Ghosts of Tupelo Landing</i>, also a&#160;<i>New York Times</i>&#160;bestseller, received five starred reviews and was a SIBA Winter 2014 Okra Pick and a Junior Library Guild selection. Sheila is also the author of two more books in the Mo &amp; Dale Mystery series <i>The Odds of Getting Even and The Law of Finders Keepers</i>, and the nonfiction adult books&#160;<i>Haunted Inns of the Southeast</i>&#160;and&#160;<i>Compass American Guides: North Carolina</i>, as well as one picture book,&#160;<i>Trout the Magnificent</i>,&#160;illustrated by Janet Stevens.",https://images.randomhouse.com/author/31563
109,Eli,Saslow,False,True,"<b>Eli Saslow</b> is a staff writer for&#160;the<i> Washington Post</i>&#160;and a contributor to&#160;<i>ESPN The Magazine</i>. He has won a Pulitzer Prize for explanatory reporting and a George Polk Award for national reporting, and has&#160;been a finalist for the Pulitzer Prize in feature writing. His works include&#160;<i>Ten Letters: The Stories Americans Tell Their President</i> and <i>American Hunger: The Pulitzer Prize-Winning Washington Post Series.&#160;</i>He lives in Takoma Park, Maryland, with his wife and two daughters.",https://images.randomhouse.com/author/127867
110,James,McBride,False,True,"<b>James McBride&#160;</b>is an accomplished musician and author of the National Book Award&ndash;winning&#160;<i>The Good Lord Bird</i>, the #1 bestselling American classic&#160;<i>The Color of Water</i>, and the bestsellers&#160;<i>Song Yet Sung</i>&#160;and&#160;<i>Miracle at St. Anna</i>. He is also the author of&#160;<i>Kill &rsquo;Em and Leave</i>, a James Brown biography. A recipient of the National Humanities Medal in 2016, McBride is a Distinguished Writer in Residence at New York University.",https://images.randomhouse.com/author/60825
111,Vikram,Vij,False,True,"<b>Vikram Vij</b> was born in India and grew up in Amritsar and Mumbai. He studied hotel management in Salzburg, Austria, before moving to Canada to work at the Banff Springs Hotel. He opened the original fourteen-seat Vij&rsquo;s Restaurant in 1994, and has appeared on many television shows and regularly cooks for events, including the James Beard Awards gala in New York. A certified sommelier, he is passionate about pairing wines with Indian food. In addition to running Vij&rsquo;s and Rangoli with Meeru, Vikram is the chef and owner of My Shanti.<br><br>Meeru and Vikram received joint honorary doctorates from the University of British Columbia and Simon Fraser University for their work in the community on advancing Indian cuisine and promoting sustainable food practices and Indian culture.",https://images.randomhouse.com/author/304762
112,Lauren,Wolk,False,True,"<B>Lauren Wolk</B> is an award-winning poet, artist, and author of the adult novel <I>Those Who Favor Fire</I>, the Newbery Honor-winning novel <I>Wolf Hollow</I>, and the Scott O'Dell Award-winning <I>Beyond the Bright Sea</I>. She was born in Baltimore and has since lived in California, Rhode Island, Minnesota, Canada, and Ohio. She now lives with her family on Cape Cod.",https://images.randomhouse.com/author/33617
113,Nathaniel,Parker,False,True,"<b>NATHANIEL PARKER </b>has appeared in several films, including <i>Swimming with Men, The Chronicles of Narnia: The Voyage of the Dawn Treader,</i> and <i>The Bodyguard</i>.&#160;On television he has starred in&#160;<i>Vanity Fair</i>,&#160;<i>Far from the Madding Crowd</i>,&#160;and&#160;<i>McCallum</i>. His theater credits include <i>Wolf Hall &amp; Bring Up the Bodies, This House</i>, and <i>Speed the Plow</i>, among others.&#160;Parker has also narrated many audiobooks, such as the Artemis Fowl series.",https://images.randomhouse.com/author/58632
114,Ruchika,Tomar,False,True,"<B>Ruchika Tomar </B>was raised in Southern California. She holds a BA in English literature from the University of California, Irvine, and an MFA from Columbia University. A recent Wallace Stegner Fellow, she is currently a Jones Lecturer at Stanford University.",https://images.randomhouse.com/author/2172482
115,E.L.,Doctorow,False,True,"<b>E. L. Doctorow</b>&rsquo;s works of fiction include <i>Andrew&rsquo;s Brain, Homer &amp; Langley, The March, Billy Bathgate, Ragtime, The Book of Daniel, City of God, Welcome to Hard Times, Loon Lake, World&rsquo;s Fair, The Waterworks,</i> and <i>All the Time in the World. </i>Among his honors are the National Book Award, three National Book Critics Circle awards, two PEN/Faulkner awards, and the presidentially conferred National Humanities Medal. In 2009 he was shortlisted for the Man Booker International Prize, honoring a writer&rsquo;s lifetime achievement in fiction, and in 2012 he was inducted into the New York State Writers Hall of Fame and won the PEN/Saul Bellow Award for Achievement in American Fiction, which is given to an author whose &ldquo;scale of achievement over a sustained career [places] him in the highest rank of American literature.&rdquo; In 2013 he received the Gold Medal for Fiction from the American Academy of Arts and Letters and the Medal for Distinguished Contribution to American Letters from the National Book Foundation. Doctorow died in 2015.",https://images.randomhouse.com/author/7163
116,Pierre,Berton,False,True,"Pierre Berton was one of Canada&#8217;s most popular and prolific authors.<b> </b>From narrative histories and popular culture, to picture and coffee table books to anthologies, to stories for children to readable, historical works for youth, many of his fifty books are now Canadian classics. <br><br>Born in 1920 and raised in the Yukon, Pierre Berton worked in Klondike mining camps during his university years. He spent four years in the army, rising from private to captain/instructor at the Royal Military College in Kingston. He spent his early newspaper career in Vancouver, where at 21 he was the youngest city editor on any Canadian daily. He wrote columns for and was editor of <i>Maclean&#8217;s </i>magazine, appeared on CBC&#8217;s public affairs program &#8220;Close-Up&#8221; and was a permanent fixture on &#8220;Front Page Challenge&#8221; for 39 years. He was a columnist and editor for the <i>Toronto Star </i>and was a writer and host of a series of CBC programs.<br><br>Pierre Berton received over 30 literary awards including the Governor-General&#8217;s Award for Creative Non-Fiction (three times), the Stephen Leacock Medal of Humour, and the Gabrielle Leger National Heritage Award. He received two Nellies for his work in broadcasting, two National Newspaper awards, and the National History Society&#8217;s first award for &#8220;distinguished achievement in popularizing Canadian history.&#8221; For his immense contribution to Canadian literature and history, he was awarded more than a dozen honourary degrees, is a member of the Newsman&#8217;s Hall of Fame, and is a Companion of the Order of Canada.<br><br>Pierre Berton passed away in Toronto on November 30, 2004.",https://images.randomhouse.com/author/2215
117,Rebecca,Katz,False,True,"<p>REBECCA KATZ, MS, is an accomplished chef and national speaker who has worked with the country&rsquo;s top wellness professionals and taught patients and doctors at leading cancer centers about the powerful role of food in cancer care. She is the former senior chef and nutrition educator at Commonweal&rsquo;s Cancer Help Program, executive chef emeritus for the renowned Food as Medicine professional training in medical nutrition therapy, and co-founder of Healing Kitchens, a company that helps people translate nutrition and culinary science to the everyday plate through online and live courses, including The Cancer-Fighting Kitchen Course. She also consults for Dr. Andrew Weil&rsquo;s Arizona Center for Integrative Medicine premiere nutrition conference for health professionals, and is the author of <i>The Cancer-Fighting Kitchen,&#160;Clean Soups, The Healthy Mind Cookbook, The Longevity Kitchen</i>, and <i>One Bite at a Time</i>. She has been featured in the Washington Post, The Atlantic, on Oprah.com, and on National Public Radio, among other national media.</p><p>She lives in the San Francisco Bay Area with her husband and two loyal kitchen dogs, Lola and Blossom. Visit rebeccakatz.com for more information.</p>",https://images.randomhouse.com/author/105276
118,Sheri,Reynolds,False,True,"<b>Sheri Reynolds&nbsp;</b>is a professor of writing and literature at Old Dominion University in Norfolk, Virginia. She is the author of five novels, including the Oprah Book Club selection&nbsp;<i>The Rapture of Canaan</i>, which was a #1&nbsp;<i>New York Times</i>&nbsp;bestseller. She lives in Cape Charles, Virginia.",https://images.randomhouse.com/author/25368
119,Tracy,Kidder,False,True,"<b>Tracy Kidder</b> graduated from Harvard and studied at the University of Iowa. He has won the Pulitzer Prize, the National Book Award, the Robert F. Kennedy Award, and many other literary prizes. The author of <i>Strength in What Remains</i>, <i>My Detachment, Mountains Beyond Mountains</i>, <i>Home Town,</i> <i>Old Friends, Among Schoolchildren,</i> <i>House</i>, and <i>The Soul of a New Machine</i>, Kidder lives in Massachusetts and Maine.",https://images.randomhouse.com/author/15598
120,Eva,Wiseman,False,True,"Born in Hungary, Eva Wiseman came to Canada with her family when she was a girl. She began writing at a young age, and her first young adult novel, <b>A Place Not Home</b>, was a finalist for numerous literary awards across North America and was selected for the New York Public Library&#8217;s annual Best Books for the Teen Age list. Her second novel, <b>My Canary Yellow Star</b>, was also shortlisted for several awards, won the McNally Robinson Books for Young People Award, and was selected for the New York Public Library&#8217;s annual Best Books for the Teen Age list. Her novel <b>No One Must Know</b> was equally critically acclaimed and won the Manitoba Young Readers&#8217; Choice Award. Her novel <b>Kanada</b> was shortlisted for the Governor General&#8217;s Literary Award and was the winner of the prestigious Geoffrey Bilson Award for Historical Fiction. Eva Wiseman is the mother of two, and she lives in Winnipeg with her husband.",https://images.randomhouse.com/author/33527
121,Alexander,Rose,False,True,"<b>Alexander Rose</b>&rsquo;s previous books include&#160;<i>Men of War</i>,&#160;<i>American Rifle</i>,&#160;<i>Kings in the North</i>, and&#160;<i>Washington's Spies</i>, recently adapted into the AMC drama series&#160;<i>Turn: Washington&rsquo;s Spies</i>, for which he served as a writer/producer.",https://images.randomhouse.com/author/60286
122,Hugh,Raffles,False,True,"<b>HUGH RAFFLES</b>&#160;is the author of<i>&#160;Insectopedia,</i>&#160;which was a&#160;<i>New York Times</i>&#160;Notable Book and received the Orion Book Award and the Ludwik Fleck Prize of the Society for Social Studies of Science, and of<i>&#160;In Amazonia: A Natural History</i>&#160;which received the Victor Turner Prize in Ethnographic Writing. His essays have appeared in&#160;<i>Best American Essays, Granta, Orion</i>, and&#160;<i>The New York Times,&#160;</i>and he is the recipientof the Whiting Award for nonfiction. He lives in New York City and is professor of anthropology at The New School.<br><br><i>The Book of Unconformities </i>will be published by Pantheon Books in August of 2020.",https://images.randomhouse.com/author/68552
123,Shelley,Lindgren,False,True,SHELLEY LINDGREN is the wine director and co-owner of both A16 and SPQR. She has received two James Beard Foundation nominations for wine service and was named Best New Sommelier by Wine &amp; Spirits.,https://images.randomhouse.com/author/105085
